CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2015-12-18,7,-1,-8,-7,-10,-13,80,52,14,1038,1034,1030,23,8,2,18,8,,0.00,,,16
2015-12-19,4,-2,-7,-3,-6,-9,93,74,42,1038,1035,1032,6,5,2,6,5,,0.00,,,45
2015-12-20,3,-2,-6,-3,-4,-7,100,85,48,1031,1027,1024,4,3,0,6,3,,0.00,,雾,44
2015-12-21,6,-1,-7,-2,-6,-8,100,78,39,1029,1027,1026,5,3,0,14,6,,0.00,,雾,350
2015-12-22,1,-3,-7,-1,-4,-8,100,89,70,1030,1028,1026,5,2,0,11,6,,0.00,,雾,19
2015-12-23,8,0,-7,-2,-6,-9,100,72,27,1028,1027,1025,8,3,0,14,5,,0.00,,雾,355
2015-12-24,6,0,-5,-2,-7,-12,96,65,27,1029,1027,1026,8,3,0,26,8,,0.00,,雾,52
2015-12-25,-2,-4,-6,-3,-4,-6,100,97,86,1025,1019,1016,1,0,0,6,5,,0.00,7,雾-中雪,106
2015-12-26,1,-3,-6,-3,-5,-11,100,85,44,1038,1025,1017,13,2,0,18,8,32,0.00,6,雾-中雪,79
2015-12-27,-3,-6,-9,-9,-13,-21,86,55,30,1041,1039,1038,14,9,3,11,6,,0.00,7,中雪,35
2015-12-28,4,-3,-11,-7,-11,-14,86,59,22,1037,1035,1032,8,7,2,14,8,26,0.00,,,330
2015-12-29,3,-3,-8,-4,-7,-9,93,75,38,1032,1029,1026,7,3,0,6,3,,0.00,,雾,41
2015-12-30,7,0,-6,-4,-9,-12,93,55,14,1034,1031,1028,31,6,0,32,11,47,0.00,,雾,346
2015-12-31,4,-2,-8,-7,-10,-12,80,58,19,1035,1032,1029,14,7,2,11,6,29,0.00,,,5
2016-1-1,5,-1,-7,-5,-8,-10,86,68,25,1028,1024,1020,6,5,2,14,5,,0.00,,,358
2016-1-2,8,1,-6,-4,-6,-8,93,72,25,1022,1020,1018,5,3,0,11,5,,0.00,,雾,23
2016-1-3,3,-1,-6,-2,-5,-8,100,80,31,1027,1023,1021,6,3,0,11,5,,0.00,,雾,76
2016-1-4,2,-2,-6,-4,-14,-19,97,42,10,1032,1030,1026,27,13,0,26,11,43,0.00,,雾,350
2016-1-5,2,-4,-11,-14,-18,-22,67,33,9,1032,1031,1027,31,16,3,29,18,40,0.00,,,335
2016-1-6,4,-3,-11,-12,-17,-19,73,38,8,1035,1031,1029,24,16,2,32,14,47,0.00,,,336
2016-1-7,1,-4,-10,-16,-17,-19,53,33,10,1036,1032,1028,31,26,16,32,19,50,0.00,,,324
2016-1-8,2,-4,-10,-14,-17,-19,63,37,9,1030,1028,1026,31,13,2,21,13,,0.00,,,17
2016-1-9,5,-3,-11,-12,-14,-17,73,46,10,1027,1025,1023,14,5,2,14,6,,0.00,,,324
2016-1-10,2,-4,-10,-12,-16,-21,68,40,11,1036,1031,1026,19,9,2,18,6,,0.00,,,41
2016-1-11,-1,-6,-11,-18,-19,-23,57,33,7,1039,1036,1034,31,28,23,26,14,40,0.00,,,353
2016-1-12,-1,-8,-15,-19,-21,-24,61,32,6,1037,1032,1028,31,22,10,35,18,50,0.00,,,337
2016-1-13,3,-3,-9,-17,-22,-25,49,24,8,1028,1024,1022,24,11,2,32,18,47,0.00,,,343
2016-1-14,5,-3,-11,-13,-17,-22,73,36,5,1023,1021,1018,8,5,2,32,6,47,0.00,,,281
2016-1-15,5,-2,-10,-4,-14,-18,86,45,9,1021,1018,1016,8,6,2,14,5,,0.00,,,93
2016-1-16,-1,-3,-4,-5,-9,-13,80,60,30,1025,1023,1020,8,6,2,14,8,,0.00,8,中雪,173
2016-1-17,-4,-9,-13,-6,-15,-23,93,52,10,1030,1027,1025,29,11,3,32,13,,0.00,8,中雪,350
2016-1-18,-5,-9,-12,-18,-23,-28,49,30,7,1030,1028,1025,31,22,11,40,21,61,0.00,,,330
2016-1-19,-1,-9,-16,-17,-21,-24,67,40,9,1035,1031,1029,11,6,3,14,6,,0.00,,,353
2016-1-20,-3,-8,-12,-10,-14,-19,80,56,25,1037,1035,1033,8,6,2,11,5,,0.00,,,83
2016-1-21,-3,-7,-9,-6,-8,-11,93,81,52,1038,1034,1032,6,5,2,11,6,,0.00,6,中雪,87
2016-1-22,-6,-10,-14,-9,-25,-32,93,29,5,1047,1043,1038,31,17,6,35,21,47,0.00,,,335
2016-1-23,-13,-16,-17,-27,-31,-34,39,23,6,1046,1044,1043,26,18,10,50,26,72,0.00,,,340
2016-1-24,-4,-9,-15,-20,-25,-30,34,26,6,1044,1040,1035,31,21,5,47,32,64,0.00,,,319
2016-1-25,2,-6,-12,-19,-22,-24,45,24,5,1035,1030,1027,29,11,3,35,18,55,0.00,,,330
2016-1-26,2,-2,-6,-17,-20,-23,36,22,6,1030,1028,1027,27,18,3,26,18,43,0.00,,,308
2016-1-27,3,-6,-13,-14,-17,-19,73,40,8,1030,1028,1026,10,5,2,11,5,,0.00,,,65
2016-1-28,5,-2,-10,-12,-16,-18,62,39,9,1033,1030,1028,8,6,2,14,6,,0.00,,,16
2016-1-29,-2,-6,-9,-13,-15,-19,73,46,14,1038,1035,1033,14,10,8,14,6,,0.00,,,168
2016-1-30,-3,-7,-11,-13,-19,-23,73,40,9,1038,1036,1034,26,10,3,21,8,26,0.00,,,21
2016-1-31,1,-7,-15,-16,-21,-24,52,29,6,1039,1037,1035,31,21,3,29,13,47,0.00,,,340
2016-2-1,4,-4,-13,-16,-18,-21,62,32,7,1038,1036,1033,31,26,8,32,13,50,0.00,,,341
2016-2-2,6,-2,-9,-16,-18,-21,49,29,7,1035,1031,1027,23,14,3,18,11,32,0.00,,,354
2016-2-3,8,-1,-10,-15,-17,-20,57,31,6,1031,1028,1025,19,10,3,21,10,,0.00,,,339
2016-2-4,5,0,-5,-16,-18,-21,39,25,5,1033,1031,1028,31,28,16,21,13,,0.00,8,,3
2016-2-5,4,0,-3,-15,-17,-21,40,25,7,1032,1031,1029,31,29,19,40,24,58,0.00,,,322
2016-2-6,7,-1,-9,-13,-17,-19,62,32,7,1032,1029,1025,29,14,5,29,11,40,0.00,,,330
2016-2-7,8,0,-8,-12,-16,-18,68,33,6,1025,1020,1016,24,12,3,35,10,55,0.00,,,323
2016-2-8,12,2,-8,-11,-14,-17,63,31,5,1020,1015,1012,31,10,2,43,11,,0.00,,,353
2016-2-9,11,2,-6,-9,-12,-14,63,35,7,1024,1021,1019,21,12,3,14,6,,0.00,,,115
2016-2-10,9,1,-6,-6,-11,-13,68,43,13,1021,1018,1016,8,6,3,11,5,,0.00,,,51
2016-2-11,7,3,-1,3,-3,-8,85,63,42,1018,1017,1015,6,4,2,11,5,,0.00,6,中雨,347
2016-2-12,10,3,-3,6,0,-5,100,76,38,1019,1016,1014,7,4,0,26,6,,6.10,8,中雨,356
2016-2-13,4,-1,-5,3,-10,-22,93,50,10,1032,1026,1020,31,15,6,47,31,64,0.76,8,中雨-中雪,321
2016-2-14,0,-3,-7,-16,-19,-23,36,29,9,1034,1032,1030,31,31,31,43,32,58,0.00,,,315
2016-2-15,4,-2,-8,-15,-17,-19,53,30,8,1032,1026,1023,31,28,19,40,19,55,0.00,,,313
2016-2-16,9,3,-3,-11,-13,-17,38,27,9,1026,1023,1021,31,27,18,35,19,55,0.00,,,316
2016-2-17,10,2,-6,-7,-10,-15,80,41,10,1026,1022,1017,24,13,6,21,8,,0.00,,,225
2016-2-18,9,4,0,-10,-15,-19,48,21,5,1025,1021,1017,31,25,11,32,21,50,0.00,,,314
2016-2-19,7,2,-3,-9,-15,-22,55,28,5,1034,1029,1024,31,23,11,35,13,47,0.00,,,344
2016-2-20,4,-1,-5,-12,-19,-24,59,25,5,1034,1030,1026,31,26,11,35,16,55,0.00,,,316
2016-2-21,6,-2,-9,-6,-12,-16,73,45,15,1029,1026,1024,11,7,3,26,8,,0.00,,,122
2016-2-22,9,1,-6,-5,-12,-19,86,44,5,1036,1028,1024,31,9,3,35,11,55,0.00,,,331
2016-2-23,3,-2,-6,-12,-19,-23,54,25,5,1040,1038,1036,31,28,11,40,18,58,0.00,,,342
2016-2-24,7,-2,-11,-13,-17,-21,73,31,5,1039,1035,1031,31,19,6,32,10,55,0.00,,,320
2016-2-25,7,-1,-8,-13,-16,-19,63,29,7,1035,1032,1028,31,20,6,21,10,43,0.00,,,319
2016-2-26,8,1,-6,-6,-14,-20,54,26,8,1032,1026,1020,31,17,6,21,13,,0.00,,,259
2016-2-27,9,1,-6,-3,-10,-12,86,39,12,1027,1025,1023,31,18,8,21,13,35,0.00,,中雪,21
2016-2-28,7,0,-7,-3,-13,-22,86,43,5,1036,1030,1027,31,18,3,47,14,61,0.00,,中雪,355
2016-2-29,4,-1,-6,-11,-16,-20,47,29,10,1037,1033,1029,27,15,8,18,10,26,0.00,,,100
2016-3-1,11,2,-7,-6,-9,-12,80,44,12,1028,1024,1019,8,7,2,14,6,29,0.00,,,127
2016-3-2,20,8,-5,-4,-6,-8,86,44,8,1019,1016,1013,8,6,2,18,6,,0.00,,,87
2016-3-3,15,8,1,2,0,-5,81,58,32,1015,1013,1011,6,3,0,11,5,,0.00,,雾,106
2016-3-4,12,6,0,2,1,-4,93,71,20,1020,1018,1015,6,2,0,21,5,,0.00,8,,29
2016-3-5,12,7,0,0,-13,-17,60,21,5,1021,1020,1018,8,6,3,40,19,58,0.00,,,320
2016-3-6,11,4,-2,-5,-8,-11,69,41,13,1021,1017,1014,6,5,3,11,6,,0.00,,,42
2016-3-7,11,4,-2,-5,-14,-24,75,28,4,1028,1022,1017,31,11,3,40,13,61,0.00,,,332
2016-3-8,7,2,-2,-16,-21,-27,32,17,4,1033,1031,1028,31,30,26,26,16,32,0.00,,,21
2016-3-9,6,1,-4,-16,-21,-26,40,19,4,1036,1033,1030,31,30,27,29,18,43,0.00,,,339
2016-3-10,7,1,-4,-14,-19,-23,35,19,5,1034,1031,1026,31,26,14,35,19,64,0.00,,,317
2016-3-11,9,1,-7,-10,-17,-21,58,25,5,1028,1024,1020,31,18,6,18,10,35,0.00,,,322
2016-3-12,9,2,-4,-4,-8,-14,69,44,14,1021,1018,1015,8,7,2,14,6,,0.00,,,107
2016-3-13,13,4,-3,-7,-13,-18,69,26,4,1027,1024,1021,31,14,6,29,13,47,0.00,,,311
2016-3-14,16,6,-4,-3,-8,-14,86,38,4,1026,1022,1019,16,7,3,18,6,35,0.00,,,155
2016-3-15,13,8,3,-1,-5,-10,70,39,15,1020,1017,1015,8,5,2,18,8,32,0.00,,,149
2016-3-16,17,7,-3,3,1,-6,93,61,20,1019,1016,1014,26,3,2,14,5,,0.00,,,114
2016-3-17,18,9,1,4,2,-1,87,59,25,1016,1012,1008,4,3,2,11,6,,0.00,,,113
2016-3-18,22,12,3,4,-3,-9,87,41,5,1018,1012,1010,23,4,0,21,8,,0.00,,,18
2016-3-19,15,11,7,-1,-3,-6,53,36,14,1025,1022,1018,16,8,2,18,10,,0.00,,,169
2016-3-20,19,10,1,0,-4,-8,87,39,8,1028,1026,1023,13,9,6,14,6,26,0.00,,,141
2016-3-21,20,10,1,3,-2,-4,81,42,13,1025,1022,1018,8,7,3,18,6,32,0.00,,,169
2016-3-22,16,12,8,2,-1,-2,62,41,20,1028,1022,1018,10,7,3,21,6,35,0.00,,,121
2016-3-23,15,9,3,1,-12,-18,70,24,4,1034,1031,1028,31,20,6,21,11,,0.00,,,21
2016-3-24,15,7,-2,-7,-13,-17,55,22,4,1034,1032,1028,31,23,10,18,8,32,0.00,,,1
2016-3-25,15,7,-2,-5,-11,-13,69,26,6,1031,1028,1025,31,20,8,18,10,,0.00,,,345
2016-3-26,20,11,2,-8,-10,-13,48,21,4,1027,1024,1020,31,26,6,26,11,32,0.00,,,331
2016-3-27,22,13,5,-8,-12,-17,32,14,4,1022,1018,1014,31,19,6,21,14,40,0.00,,,277
2016-3-28,22,13,4,-2,-5,-8,57,26,6,1015,1011,1007,10,7,5,35,8,47,0.00,,,214
2016-3-29,24,14,5,-2,-5,-9,53,24,7,1019,1015,1012,31,23,10,32,14,50,0.00,,,294
2016-3-30,22,16,8,1,-7,-11,53,22,6,1020,1016,1012,31,22,8,21,11,40,0.00,,,88
2016-3-31,23,14,6,7,4,0,81,49,21,1013,1007,1003,10,5,2,26,8,,0.00,8,,140
2016-4-1,22,17,12,10,2,-6,77,36,9,1016,1008,1003,31,13,5,40,16,50,0.25,,,358
2016-4-2,19,14,11,1,-8,-18,44,21,4,1024,1020,1016,31,29,18,29,14,50,0.25,,中雨,357
2016-4-3,20,14,8,-2,-11,-18,43,17,4,1025,1021,1016,31,25,14,21,10,35,0.00,,,266
2016-4-4,22,13,5,6,1,-2,76,41,15,1016,1012,1008,13,9,5,26,10,32,0.00,,,187
2016-4-5,22,13,6,7,4,-6,93,48,15,1014,1012,1010,14,7,3,21,11,,0.00,,,122
2016-4-6,20,13,7,12,4,-6,82,51,21,1014,1009,1004,11,4,2,18,6,29,0.00,8,中雨,136
2016-4-7,24,17,9,9,-3,-19,93,34,4,1017,1011,1007,31,9,2,40,13,58,0.00,,,327
2016-4-8,24,17,9,0,-12,-23,36,13,4,1018,1013,1008,31,24,11,29,18,47,0.00,,,262
2016-4-9,26,16,5,5,-1,-11,81,37,9,1015,1010,1008,13,9,6,29,8,,0.00,,,144
2016-4-10,20,12,4,0,-6,-12,65,30,6,1023,1017,1016,16,11,6,26,8,,0.00,,,156
2016-4-11,15,9,4,2,-5,-9,52,34,12,1024,1018,1011,19,13,10,18,11,,0.00,,中雨,141
2016-4-12,18,12,5,8,6,0,87,69,32,1012,1008,1005,10,8,5,18,6,,1.02,3,中雨,116
2016-4-13,27,17,8,10,2,-11,100,50,4,1009,1004,1001,19,4,1,47,11,72,0.00,8,,329
2016-4-14,23,18,12,1,-4,-10,47,23,6,1017,1014,1010,31,21,13,29,16,32,0.00,,,76
2016-4-15,22,13,6,9,2,-2,81,42,19,1017,1012,1008,23,11,6,32,8,43,3.05,,中雨,170
2016-4-16,20,16,12,11,2,-7,94,45,10,1012,1009,1007,31,15,8,40,19,58,1.02,8,中雨,328
2016-4-17,20,16,12,0,-7,-13,41,20,4,1012,1011,1009,31,31,31,43,19,58,0.00,,,296
2016-4-18,21,14,8,0,-4,-12,54,27,4,1016,1013,1012,31,28,13,29,16,43,0.00,,,301
2016-4-19,15,11,8,6,3,-5,71,53,20,1019,1016,1014,13,8,6,14,10,,0.00,8,,112
2016-4-20,27,17,8,6,3,-4,76,40,6,1016,1012,1007,23,11,6,18,11,,0.00,,,348
2016-4-21,32,19,6,10,1,-15,93,40,4,1007,1003,998,16,5,2,47,11,61,0.00,,,317
2016-4-22,26,16,7,1,-9,-16,54,17,4,1012,1009,1007,26,19,14,40,11,61,0.00,,,342
